Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
Arpc1b,0.341771619816826,6.91078118513394,6.28076871720469,1.31945538963785E-06,0.00031326070042318,5.35579510167117
Plek,0.348657366651358,6.56175813983951,6.18042774255477,1.69965815613542E-06,0.0003779810669102,5.19117465601863
C1qb,0.210425734188155,7.27306069466789,6.30081578798388,1.2545219845757E-06,0.00030635426863338,5.1832554099106
Tmem86a,0.228098937456412,6.59492836374105,6.14886919526093,1.84093599780715E-06,0.0003779810669102,5.11940166595859
Serping1,0.629003926655779,6.92632263304839,6.14458316961061,1.86102221658899E-06,0.0003779810669102,5.05968903582345
Sh3bp2,0.265607726953201,6.6966700909134,6.11811879787508,1.99007230735453E-06,0.0003779810669102,5.03079833290093
Plekha4,0.706598466235272,6.0252625677661,6.45022435085745,8.62420159928565E-07,0.00030073560455111,5.01540785332406
Stat6,0.136499166603969,6.84462479658671,6.13953118185264,1.88498404392111E-06,0.0003779810669102,5.01445141904255
Cd63,0.198574461295183,7.3127994369471,6.19030671561144,1.65773552436342E-06,0.0003779810669102,4.88267096234917
RT1-Ba,0.887922712634854,6.4162051952069,6.12630875097652,1.94919243168168E-06,0.0003779810669102,4.84929939456558
Blnk,0.30188051374571,6.69012214444372,6.03906385810611,2.43233819862573E-06,0.0004292441477959,4.84118220838833
Anxa3,0.156855226315497,7.26403575998879,6.16351153712245,1.77396103701931E-06,0.0003779810669102,4.83596115013473
Prkcd,0.291027334594182,6.74773450704191,6.03447878927009,2.4608591601731E-06,0.0004292441477959,4.81184108381647
Cd53,0.33949561714152,6.68508341746684,6.02128488684773,2.5448380504094E-06,0.00043501461633698,4.80163131390436
Eva1b,0.349035167749002,6.43692344006061,6.00622930840613,2.64422551804635E-06,0.00043818816261954,4.74144953898612
Sipa1,0.186200293983871,7.01716839412121,6.06589336615604,2.27204180899869E-06,0.00041317322003216,4.73942774039494
Sdc4,0.117976965490506,7.22732655305262,6.10678835334232,2.04806722385422E-06,0.00038053979483221,4.70911619951143
Aif1,0.232356291458,6.83015887696511,6.00301646454777,2.66593944731677E-06,0.00043818816261954,4.69189984608839
Vav1,0.590590058420124,6.16948491678055,6.1303092763929,1.92953489831988E-06,0.0003779810669102,4.68917891871427
Icam1,0.393532250436472,6.45394510304325,5.97815694683983,2.84018344785502E-06,0.00045801977224182,4.67742594973292
Csf3r,0.493670942719351,6.34484032046925,5.96594711861561,2.92994999089896E-06,0.0004637459735595,4.56462895317081
P2ry6,0.356221060528552,6.44250852922334,5.89815004444064,3.48340586571192E-06,0.00050462152430914,4.48763542517232
Irak4,0.224455589726613,6.20657488452907,5.94950448164797,3.05540082752503E-06,0.00047480928859738,4.45605151171357
Tnfrsf1a,0.320780636955958,6.84889069974036,5.90292564587826,3.44116229071495E-06,0.00050462152430914,4.44445726640873
Apbb1ip,0.181895146404623,6.7855402119314,5.86669682770693,3.77507560581254E-06,0.00053775952004799,4.36831826941439
Npepl1,0.183727239814723,6.77154221173421,5.8484997064868,3.95499886134642E-06,0.00054912664237866,4.32959859588985
Stat5a,0.269780661008283,6.32509329206649,5.81400441017207,4.32027399563817E-06,0.00058399814581575,4.24234304387031
Zfp217,0.381880257685429,5.97659551753495,5.90369275614579,3.43442521725805E-06,0.00050462152430914,3.98697167793124
