Gene,GSM107412,GSM107413,GSM107414,GSM107415,GSM107416,GSM107417,GSM107418,GSM107419,GSM107420,GSM107421,GSM107422,GSM107423,GSM107424,GSM107425,GSM107426,GSM107427,GSM107428,GSM107429,GSM107430,GSM107431,GSM107432,GSM107433,GSM107434,GSM107435,GSM3574340,GSM3574341,GSM3574342,GSM3574343,GSM3574344,GSM3574345,GSM3574346,GSM3574347,GSM3574348,GSM3574349,GSM3574350,GSM3574351,GSM3574352,GSM3574353,GSM3574354,GSM3574355
Acacb,7.05861127112257,7.27853953747081,6.58421038549876,6.95364776838242,7.63287466969682,7.23402234494498,6.88781129614404,7.11718652669835,6.60998198178241,6.91866039776811,6.12003087094496,6.09690263525738,6.88068789475473,6.20940285515089,6.96254799497318,7.20763416900664,6.65470530209933,6.55710425848575,6.6901878918758,6.66544632533103,7.42331106801693,7.37898256480498,7.04946196209639,7.54115078109322,6.24403073000339,6.74295814413133,6.03565777272794,6.23963257999657,6.4075255974528,8.17467401636757,7.23929577495283,6.16556218164511,8.35448184611951,6.55454910231063,5.6363608519449,5.69697996696339,5.94578400928367,6.34850183648968,7.28038870223052,7.25398222947491
Acadl,10.6528812330162,10.6180650443354,10.4127208965673,10.528213613826,10.8349899253334,10.6926747253539,10.668291701366,10.6350973644621,10.7485823228137,10.873189638573,11.0167231304183,10.7279203331949,10.90866934609,10.860288240157,11.0129807082598,11.1710529191173,10.5992815392222,10.6326969497613,10.5657365314624,10.828053856017,10.4748836008644,10.599460785537,10.6927626474999,10.8457121654924,10.5782755291714,10.4737175702306,10.7293177254069,10.7247003174739,10.8121652730695,10.2053317862978,10.7000395190904,10.787617122406,10.4697144100429,10.8569232069076,10.9832943386411,11.0377469424168,11.1546620957336,11.2675008289794,11.2043893215007,11.050158398188
Acadm,11.1808398022613,11.2986473396446,11.0862018152177,10.8827170172819,11.1198540048656,11.0494957033365,10.922745236572,11.0933238953491,11.2016496900498,11.2317149784276,11.2393619115405,11.4412206227588,11.2705135191579,11.658300910709,11.5271128047232,11.4734693100181,10.9192739740562,11.0287993346497,11.0370699504929,11.172156260168,10.7635360871968,10.9136529304723,11.0896895750798,10.9969247476307,9.78739012116298,9.79139655265976,10.1167218799704,10.0196890076886,10.1572570389096,9.76016679295896,10.0650426980836,10.2216874800935,9.95540616203729,10.2891907864734,9.98388415031415,10.1304685921723,10.3735385100607,10.3495280751072,10.3076781093887,9.99618349811844
Acads,9.00492101574091,9.00994640292412,8.43737587440541,8.74925157704095,8.50067871914272,8.45120592855985,8.7646867168799,8.86936204010683,9.14521517375562,9.01520780253628,8.59464991208391,8.26784427494534,8.52127765914567,8.80388005915914,7.91265317263675,8.64944289887569,9.34434112747193,8.9339227617299,9.31716044260521,9.73856435462691,8.86478030796531,8.61029850517717,8.35624502897201,8.61502159814669,4.96797941918921,5.27236447305135,3.62978224154159,4.58533615870694,4.68167867013177,7.91583278217776,5.90423639705533,4.23049565988597,8.07295573876682,4.82954274211269,2.42414006698361,2.02233248403708,2.93607837513584,3.56737619219846,4.75316154494125,5.04683722935986
Acadsb,7.37251665891054,7.30354098752348,7.15067498132331,7.00333411709719,6.99117827108179,6.15374391856345,5.88001675957184,6.76442661922547,6.08041226368892,7.17722240866117,5.4067763641354,6.50840930400138,6.17543816440801,5.32061878041981,5.663786281918,6.36763310467699,5.64662564026947,5.3810284467648,5.76902257841284,4.75781899792022,4.47573511821064,3.78637330191011,3.1861892138977,4.20358987131897,5.8967363838249,6.07624407494685,6.75220917909715,5.71206410917473,6.04805619712401,5.40969684926414,5.74136976382496,6.52293652290737,4.91331436641661,5.90594411945294,6.5577678478989,6.94397066641617,6.6460564352603,6.52140373916348,6.22216015356959,5.95033213347455
Acadvl,10.2841453813247,10.0905052804192,10.2820045959419,10.302443004995,10.2858050187762,10.4132933826682,10.5623332216964,10.5777964662798,10.1503679617216,10.1319641872441,9.67515644439738,9.97369908134218,10.4841596824307,10.8326826202145,10.3970525866164,10.5682027371497,10.1479615114124,10.2229340584935,10.1155767083176,10.0379788929101,10.709884440378,10.5872047159689,10.2165574344473,10.6864130164749,8.62182000157014,8.61085816142015,8.01774443237442,8.31541571216082,8.50059192183585,8.8657240528984,8.79936525948469,8.10667956126291,9.17108723065526,8.72115271384996,7.61005436202085,7.47445570789902,7.93426781876232,8.38750157922184,8.96366840725435,8.87319909515459
Acat1,9.6414216480662,9.59802495828283,9.04171413235714,9.50572973021606,9.45066496294079,9.49676759867906,9.75938978366516,9.43638738121273,9.47015522713423,9.63243478835727,9.47017414937001,9.45692004029342,9.34967075647934,9.74732734072702,9.68408295720252,9.90255852353403,9.61718143632029,9.76597186556818,9.46615649905901,9.65194004795118,9.6974387421797,9.68485335180982,8.90603759072603,9.92977475805355,9.04168693639504,8.99139320002135,8.8965088193798,8.97904584857635,8.83458509274197,8.8765306158317,8.87259127319708,8.88698565158219,8.94973140241628,8.93591508205279,8.65685301098599,8.70792209767507,8.86676678946108,9.02168748669643,9.30023037864378,9.03485674946969
Ace,6.56780757258272,5.99179607498905,5.77315605031044,6.03547224954112,6.02709829185127,5.70676932464564,5.16927050925018,6.47000108729829,6.08594670510762,5.74062198879571,5.86403964945437,6.06816489221232,5.38854785355485,5.39921429212139,5.66090774062728,5.54023758432597,6.27270491810088,6.39188776598556,6.24732854289435,6.51568310447298,6.08258166075956,5.77837245508494,5.93543783709198,5.812420112167,3.64400714872946,3.45910697536655,2.75265433020595,2.92186859722959,3.20582087584052,3.88391946888331,3.46025316383573,2.75974044907946,4.17208293502978,3.1245596185005,2.20975977416508,2.09479276418938,2.19932399541098,2.72947960308584,3.39458447040115,3.21830317894103
Ache,4.09831414852219,4.47486177212103,3.94243001686363,4.12005564696771,4.6969519176888,4.20123845232342,4.38220261169357,3.87622603641756,4.73486061093583,4.41239574377851,4.41105203654268,4.24624501722194,4.46054652607097,4.89005092457144,4.64142049044477,4.26202955911187,4.62039696257577,4.9817854731241,4.85265378460135,4.96636240124834,4.74239854062959,4.72901740723427,5.18935222223615,5.02845705004993,1.5321188658895,1.7130459118118,2.17694243297153,1.52068981736551,1.9294331068624,2.53324487676828,1.57152152065712,1.82745832149251,2.64390596551421,1.76554038765265,2.90646237477133,2.43896139628999,2.44435399128665,2.42727735318349,2.47778822701075,3.38190748128774
Ackr3,7.71754815589692,7.50494683543589,7.55761089960352,7.04978675978675,7.99251960871989,7.17474842547516,7.37770846363488,7.01891789020803,7.70109403325659,7.43232003928363,8.149053542176,8.60400735854355,7.80047248871548,8.14907659165562,7.3062290114275,7.84844576496363,7.63234685177326,7.74084400444815,7.90201782453702,7.81764559804882,6.83453173448849,7.00435168206796,7.12398033347965,7.36773749503837,6.21723057473929,6.12553288356559,5.71037055046904,6.24524075009421,5.96792498981757,6.45440896131746,6.1120436742284,5.90311611033671,6.27457677958756,5.89462620977014,5.76481394166193,5.99554225047709,5.9074731717187,5.603496550085,5.57000190381587,5.95033213347455
