"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MVP",0.27197956928874,6.95899900461793,5.54795053790348,8.56630843527507e-06,0.000832002706776091,3.47648274443513
"RNASET2",0.255445825673261,7.05017361758793,5.56181249728397,8.26510188021886e-06,0.000823896508431375,3.45029419297443
"RT1-DB1",0.789729480635969,6.52208448339619,5.44621289672293,1.11444550652737e-05,0.00101334739924214,3.39172515694462
"CMTM3",0.553329784246476,5.92844207966412,5.64553396809053,6.66016554855625e-06,0.000749318634849946,3.3026869223725
"LYL1",0.469849342934231,6.00240465781374,5.5483840148656,8.55672347146248e-06,0.000832002706776091,3.25514370988841
"CP",0.495041246791944,6.66192044574635,5.37314494675028,1.34678756043219e-05,0.00117459115091979,3.22384878992385
"C1S",0.416235779600077,6.53913810914374,5.36182462052318,1.38692418815856e-05,0.00118540410361912,3.21196842873806
"DOCK8",0.287732652983217,6.64721712608,5.36895267393637,1.36151300330314e-05,0.00117543955951838,3.19742720290094
"RASAL3",0.326255472564905,6.35270642078151,5.35119626016945,1.42570493091625e-05,0.00120648515292487,3.16364878074881
"IRGM",0.333780070321431,6.36401182611202,5.33217736245167,1.497850921133e-05,0.00124292541970134,3.12193139597954
"IFITM2",0.447643613125335,6.30257370733752,5.30557365584448,1.60498823644582e-05,0.00128204060344883,3.02180349052683
"MGST1",0.464723489597488,6.29784048290177,5.27181881163645,1.75211815404658e-05,0.00134282816814884,2.93800554591836
"HMOX1",0.572256439894338,6.56076538460549,5.22535832847058,1.97712219480778e-05,0.00144431311102753,2.88100734535824
"TNIP2",0.270283065066423,6.41420073111285,5.21918611802885,2.00912741902742e-05,0.00145525525851079,2.86450637423702
"TBXAS1",0.581108245248396,6.05792610840994,5.32458695024314,1.52766191796701e-05,0.00125547369354462,2.81276168551397
"HCK",0.602724121328372,6.09758397335199,5.27640116917302,1.73137370218995e-05,0.00134282816814884,2.7473115529363
"CXCL16",0.476439510485959,6.50406890768119,5.14424912347882,2.44195554257812e-05,0.00169686130263538,2.68430711102909
"TNFAIP2",0.455681766242459,6.06999151298371,5.21186870685581,2.04774751141678e-05,0.00147076453614111,2.62137405234863
"PSMB8",0.663984591646395,6.06352253166117,5.23079692233757,1.94934675086709e-05,0.00144431311102753,2.58952755239766
