"","GSM107412","GSM107413","GSM107414","GSM107415","GSM107416","GSM107417","GSM107418","GSM107419","GSM107420","GSM107421","GSM107422","GSM107423","GSM107424","GSM107425","GSM107426","GSM107427","GSM107428","GSM107429","GSM107430","GSM107431","GSM107432","GSM107433","GSM107434","GSM107435"
"ACADM",11.1808398022613,11.2986473396446,11.0862018152177,10.8827170172819,11.1198540048656,11.0494957033365,10.922745236572,11.0933238953491,11.2016496900498,11.2317149784276,11.2393619115405,11.4412206227588,11.2705135191579,11.658300910709,11.5271128047232,11.4734693100181,10.9192739740562,11.0287993346497,11.0370699504929,11.172156260168,10.7635360871968,10.9136529304723,11.0896895750798,10.9969247476307
"ACADS",9.00492101574091,9.00994640292412,8.43737587440541,8.74925157704095,8.50067871914272,8.45120592855985,8.7646867168799,8.86936204010683,9.14521517375562,9.01520780253628,8.59464991208391,8.26784427494534,8.52127765914567,8.80388005915914,7.91265317263675,8.64944289887569,9.34434112747193,8.9339227617299,9.31716044260521,9.73856435462691,8.86478030796531,8.61029850517717,8.35624502897201,8.61502159814669
"ACADSB",7.37251665891054,7.30354098752348,7.15067498132331,7.00333411709719,6.99117827108179,6.15374391856345,5.88001675957184,6.76442661922547,6.08041226368892,7.17722240866117,5.4067763641354,6.50840930400138,6.17543816440801,5.32061878041981,5.663786281918,6.36763310467699,5.64662564026947,5.3810284467648,5.76902257841284,4.75781899792022,4.47573511821064,3.78637330191011,3.1861892138977,4.20358987131897
"ACADVL",10.2841453813247,10.0905052804192,10.2820045959419,10.302443004995,10.2858050187762,10.4132933826682,10.5623332216964,10.5777964662798,10.1503679617216,10.1319641872441,9.67515644439738,9.97369908134218,10.4841596824307,10.8326826202145,10.3970525866164,10.5682027371497,10.1479615114124,10.2229340584935,10.1155767083176,10.0379788929101,10.709884440378,10.5872047159689,10.2165574344473,10.6864130164749
"ACAT1",9.6414216480662,9.59802495828283,9.04171413235714,9.50572973021606,9.45066496294079,9.49676759867906,9.75938978366516,9.43638738121273,9.47015522713423,9.63243478835727,9.47017414937001,9.45692004029342,9.34967075647934,9.74732734072702,9.68408295720252,9.90255852353403,9.61718143632029,9.76597186556818,9.46615649905901,9.65194004795118,9.6974387421797,9.68485335180982,8.90603759072603,9.92977475805355
"ACE",6.56780757258272,5.99179607498905,5.77315605031044,6.03547224954112,6.02709829185127,5.70676932464564,5.16927050925018,6.47000108729829,6.08594670510762,5.74062198879571,5.86403964945437,6.06816489221232,5.38854785355485,5.39921429212139,5.66090774062728,5.54023758432597,6.27270491810088,6.39188776598556,6.24732854289435,6.51568310447298,6.08258166075956,5.77837245508494,5.93543783709198,5.812420112167
"ACHE",4.09831414852219,4.47486177212103,3.94243001686363,4.12005564696771,4.6969519176888,4.20123845232342,4.38220261169357,3.87622603641756,4.73486061093583,4.41239574377851,4.41105203654268,4.24624501722194,4.46054652607097,4.89005092457144,4.64142049044477,4.26202955911187,4.62039696257577,4.9817854731241,4.85265378460135,4.96636240124834,4.74239854062959,4.72901740723427,5.18935222223615,5.02845705004993
"ACKR3",7.71754815589692,7.50494683543589,7.55761089960352,7.04978675978675,7.99251960871989,7.17474842547516,7.37770846363488,7.01891789020803,7.70109403325659,7.43232003928363,8.149053542176,8.60400735854355,7.80047248871548,8.14907659165562,7.3062290114275,7.84844576496363,7.63234685177326,7.74084400444815,7.90201782453702,7.81764559804882,6.83453173448849,7.00435168206796,7.12398033347965,7.36773749503837
"ACLY",6.26120305198492,6.83636734797684,6.91471074573597,6.92488992169943,7.04940506095187,7.06204796054337,7.38038805105584,7.0227311928083,5.95361163679048,6.95709512098085,7.37797705914409,7.00528281844393,6.71917456798357,6.18367117918406,7.0422160098806,7.04188597465602,6.82428132944347,6.68045983058462,6.76029017291072,6.88308661320588,6.53202847674653,6.72916433923692,7.17867823469669,6.99487997086286
"ACO1",8.11463821421554,7.85663366868587,7.95688607038941,8.05778935642146,7.86402609095312,8.10493546350071,7.78783532972349,8.24926846439614,7.9303429941668,8.10303106152237,7.8703566449365,7.85268831869987,7.73502313558722,7.62620175418439,7.71551835471436,7.97789559213861,7.97279759453209,8.09167326336536,8.08305585048167,8.03955813094453,8.08414686374543,7.40905248195386,7.64692702434074,7.62879564225124
"ACOT2",8.73389874359239,8.58180392541005,8.16775224913432,8.43146881372508,9.91504610968817,9.27830599949137,9.45409222163176,8.80313436172544,7.67550152731561,8.11533679358803,7.2533688726884,7.66791722267913,9.33719404148818,9.15056888699909,8.82247267195075,9.72105110951311,7.81447806960855,8.30223182148306,8.085408066706,8.06308556454891,10.0704967914587,9.87189101257571,9.78833080255799,10.3505749737812
"ACOT7",7.26242167583863,7.63252221181117,7.2714442957734,7.29340637995423,8.03810918119741,7.68152166196286,7.95754781211989,7.52377728059256,7.80034355141457,7.54051120668468,7.56709909249434,7.3833474252483,8.08945455206086,8.19025770099068,8.16069522853089,8.13406937013787,7.76456028031344,7.67140484365878,7.66999482296351,7.77958581178827,8.64772997667462,8.44110874528211,8.32868623699628,8.53953491182373
"ACOX1",9.02486407980421,8.97647479931612,8.93682214020341,8.90985535741374,8.9121701467191,9.13497362338108,8.79166770933545,8.97062572670479,8.7037295545986,9.25051294197099,8.98200218210697,9.17101831083231,9.12244497715094,9.02799229247364,9.03887468616603,9.2085468013363,8.82050750751822,9.07635442411955,9.00360069348909,9.10486581304866,9.06817231404024,9.05957532595064,8.89967301536719,9.08818548377785
"ACOX3",2.03935695717921,1.99276083335639,1.71087394075049,3.02049234269201,2.88784925790418,2.87745210983445,3.40854809839885,2.08050145028892,2.62056268868574,3.78168491480492,2.02930139676272,1.64187321023094,2.22257189932574,2.25431716257473,2.49535114489681,3.45473109562089,1.4641541758311,2.76332718124968,2.57104020879351,2.67181367395484,1.94707755177328,2.30602328940998,2.75654894941523,2.35149859702011
"ACP2",6.03883723013199,6.61294049382382,6.17419041983855,6.24655745358323,6.46682806013938,6.06946858436134,6.27074344540152,6.1356872363747,6.52904373228228,6.45585715233296,6.59356728883893,6.54557693636739,6.41589888867751,6.50237108018074,6.35969546805875,6.65482527180854,6.23141212495187,5.96105487098858,6.17557036654032,6.76095910985221,6.51023701618439,6.71520461889548,6.72422815490802,6.60091221043809
"ACSL1",9.32513285422812,9.36921805451668,9.69964676575345,9.45572561217082,9.38419152484991,9.70994441556867,9.52434685859081,9.47780510878012,9.43737531460667,9.32027704311874,9.65263124220902,9.4626487366729,9.59231873640709,9.48236799007461,9.90283252741883,9.44410554871667,9.43883762998321,9.60099084136973,9.51853647753086,9.572857808979,9.58456153551993,9.61027180256672,9.32518496564714,9.6112708819482
"ACSL3",5.15051530321586,5.15284494968155,5.05757310626391,5.03838880003652,5.33891290797612,5.11539929861692,4.83716038227969,5.24055735106698,4.58274985278878,4.46698011738854,5.05117703617758,4.80804358344172,4.85723913350459,4.57090622957699,4.75034897018536,4.47481184859404,4.9190319272149,4.71026738367634,4.17862705731157,4.57594689134105,4.35260986434476,4.67244736587231,4.95807885490725,4.79458820294647
"ACSL4",5.03614164893521,4.97051870544933,5.07416372126261,5.09978671753905,5.24673914317024,5.17997376571085,5.09787636741812,5.1940380959376,4.74079177320323,4.9932138432607,5.45291165419089,5.35646330927303,4.96768231785199,4.84755946494451,5.12182414702077,5.23466881935476,4.50463424722853,5.05939442882225,4.80796276849623,4.66023882571623,4.92348479072714,4.93004219441619,5.21484864515697,5.16979332133871
"ACSL5",6.65862280270443,6.85344177836775,6.58367918048513,6.22342715767888,6.46842011926993,6.70152904390519,6.29679857536849,6.30897348866031,6.54241462514143,6.50370713086405,6.71478762863132,6.40280955702731,6.01854133674505,6.49789039870349,6.45905744782599,6.33481403844145,6.25241372407718,6.31677422896222,6.28252219770837,6.30716748733979,5.93288403549676,6.19796231553359,6.71482438014879,6.24218581310863
