,GSM107412,GSM107413,GSM107414,GSM107415,GSM107416,GSM107417,GSM107418,GSM107419,GSM107420,GSM107421,GSM107422,GSM107423,GSM107424,GSM107425,GSM107426,GSM107427,GSM107428,GSM107429,GSM107430,GSM107431,GSM107432,GSM107433,GSM107434,GSM107435
Wdpcp,317.6,171.2,223.3,272.6,399.7,136,243.4,287.7,345.5,185.6,357.8,117.4,387.8,273.4,255.7,212.4,102.2,303.5,308.9,287.5,71.5,324.1,90.6,264.7
Wdr31,181.5,83,300.9,368.4,115.9,205.9,182.8,164.1,116.3,165.2,65.2,66,88.4,32.2,88.3,55.4,114.5,108.8,77,70.1,74.1,94.6,105.9,81.3
Wdr35,250.4,136.1,324.7,152,310.6,221.3,133.8,134.7,259.1,186.8,114.2,256.1,185.1,332.1,215.2,211.9,266,164.4,186,172.4,185.1,190.8,194.8,148.5
Wdr37,42.3,53.5,88.2,26.5,120.7,22,15.2,34.9,95,39.6,68,61.2,52.6,41.3,37,46,239.6,141.8,140.1,79.3,270.6,76,255.2,89.5
Wdr61,676.6,737.1,770.3,758.3,938.9,624.9,829.1,461.4,519.7,915.3,965.9,916.3,626.3,898.2,718.4,915.1,643.1,618.2,595.9,449.2,499.1,693.2,495.6,661.8
Wdr62,338,195.2,116.5,486.65,198.05,396.8,204.55,547.8,244.4,374.15,195.3,148.2,95.4,68.5,132.7,225.25,300.8,307.7,295.7,336.65,411.65,352.05,208.45,224
Wdr74,880.8,870.5,801.6,798.2,932.2,878.8,1104.9,814.1,891.3,956.7,955.2,863.7,1010.7,773.9,900.6,786.6,1028.7,849.8,1034.1,1221.8,1012.8,1008.8,1060.9,863.6
Wee1,364.2,452,269.9,428.8,383.1,352.5,300.4,463.3,577.5,563.3,686.1,716.1,102.1,442.6,440.9,592,489.3,480.8,584.2,506.8,307.7,567.9,555.6,434.2
Wfdc1,1453.7,2998.2,2619.8,3140.9,897.1,1787.3,1594.3,1231,1955.6,1366.7,1170.2,1404.3,794.7,1079.5,1185.9,904.7,1444.2,1546.1,1713.4,1454.3,479.6,563.5,166.6,739.1
Wfdc18,38.5,178,104,92.3,151.5,106.6,106.9,98.3,245.8,161.8,721,231.3,232.5,124.6,38.8,141.8,224.3,126.1,248.8,231.9,265.8,164.4,286.7,217.7
