Gene,GSM107412,GSM107413,GSM107414,GSM107415,GSM107416,GSM107417,GSM107418,GSM107419,GSM107420,GSM107421,GSM107422,GSM107423,GSM107424,GSM107425,GSM107426,GSM107427,GSM107428,GSM107429,GSM107430,GSM107431,GSM107432,GSM107433,GSM107434,GSM107435,GSM3574340,GSM3574341,GSM3574342,GSM3574343,GSM3574344,GSM3574345,GSM3574346,GSM3574347,GSM3574348,GSM3574349,GSM3574350,GSM3574351,GSM3574352,GSM3574353,GSM3574354,GSM3574355
Abhd14b,5.49393722062321,5.26153658159121,5.41365314756115,5.49707401203699,5.1824061893902,5.50845493427885,5.60508213249497,5.54052937722334,5.34298805199167,5.54325193011477,5.12395157700146,5.18580159186094,5.57756957941864,5.56207490838494,5.46192920384597,5.32600175057373,5.54906171350217,5.54583598613188,5.38889207743654,5.74259825473441,6.5379114373257,6.23755359468544,5.50709240400051,6.02983212458883,5.6783264100068,5.84832850676062,5.53518809711888,5.54755175427274,5.23984126043303,5.75727272633383,5.32771826141227,5.3763117855675,5.85749020687166,5.41483244168889,5.10815136878678,5.06103861263758,5.43197417881574,5.48432836056509,5.96406981987934,5.87484133379704
Abi2,4.92413341013586,5.36149542711544,5.78829627073931,5.06475330534618,5.54046467526698,4.90554495677738,4.82968624870775,5.07381544561336,5.38464767192731,4.68743067445389,5.42633944163925,5.36470612693305,5.08316682181993,5.41892131707842,5.72186795009817,5.31915226686351,5.47781477659077,5.62333758777208,5.60137053577654,5.67295630994825,5.90623397561862,5.8769552660613,5.94988219077231,5.29099125743942,5.0215939809075,5.10896668016403,5.64174251388379,4.90231507550925,5.54958164315872,5.02803308079793,5.12429229090558,5.55535487712193,4.90981556749555,5.25584015707627,5.96314364157013,5.90685359522709,5.88463142884172,5.73024108025347,5.16276170542483,5.41858997794193
Abracl,4.6616151159204,5.11573451512917,4.9996827582998,5.2500226834451,4.66830322469503,5.34688188788808,5.3069414955383,4.43343911484015,5.08950039213333,4.78631567221438,5.25066913695666,4.94505458159635,5.09137802334102,5.01297646855987,5.46968260551932,5.5028526838187,4.27955586859523,3.69020693137822,3.54108111208663,4.81426368197644,4.75011913144007,4.68540134545738,5.51490622958042,4.57479901881767,5.15613759797661,4.97916698829518,5.2003012117738,5.36277194225679,5.15391162647828,4.33790964015538,5.01830532136758,4.83705268294214,3.95773443102266,5.1600908477629,5.22329896571055,5.1736766546368,5.17305338356778,4.66990398875479,4.54151841060092,4.07383037528264
Abtb2,4.89964962293485,4.73255849832759,5.10835808925544,4.9864306917991,6.05916604845963,4.91369750700752,4.26100685963464,4.15849126820441,4.76505047283587,4.37300804817131,4.42985788556977,3.88530315575674,4.60070322473031,3.98572785386399,4.51892083019205,4.4772308834932,4.65088643257598,4.45899392873181,4.89714166965886,3.76227405196925,3.94516730667317,4.66126694718544,3.82691489476453,3.83223824342707,4.57127719292521,4.5469753708615,4.46155238829895,4.08332528166472,4.23522682332538,5.53272255436103,5.04018664621187,3.94635064066846,5.64476892711008,4.28838575997353,3.9746385549566,3.87505060541064,3.71386272729249,4.29039129364328,4.37908190211718,5.38288153834387
Acaa2,10.1185197468099,10.0411636208389,9.68555917935099,10.0314747083255,10.5095076267308,10.3355392391348,10.1148151816907,9.93674209573125,10.2033321223791,10.1983416068241,9.72258393917491,10.182291513696,10.2365492486717,10.4790929849821,10.8369872117706,11.0516447426913,10.5338440026882,11.0249101800796,10.6321428262006,11.1867503512866,11.1215569076356,10.6804332294499,10.3119533336102,10.5668330728339,10.3251692688081,9.70677385270246,9.86096431135152,9.93936582058786,10.4352016160992,11.0143447552014,10.4816354324036,10.2965908741133,11.3997365623241,10.5312982495142,9.99825119717386,10.0589103824315,10.1751088222974,10.4458531845858,11.0359754011318,10.6368745382571
Acaca,3.21310345848933,3.54737847433452,3.84100995234391,3.93064558901111,5.26104568393509,4.44052477655284,3.62839469413007,3.71737041484371,4.80053350882497,4.14138677279069,3.76371326552295,3.00750841004627,4.28445941152059,3.86970713184777,2.87877239002137,4.49933281866147,3.44937768870693,3.40386240151806,5.11042312863106,4.18937362126873,4.18668983412776,4.39919346641142,3.78409916358781,3.26703692339069,4.30675409748707,4.10790645564563,4.36157258942767,3.52379355365522,3.988827805658,3.89194945604992,3.99357775707471,3.76978917709512,3.75306580690835,3.85037043067713,3.7981365109278,4.0462308990056,3.60600190816891,3.6562996837775,4.41928240126832,4.41023150307521
Acacb,6.99049781881001,7.27356329986189,6.37990547826974,6.85540129443246,7.72962129696498,7.21626606960295,6.77066442547807,7.06588891415489,6.41307560878837,6.81036971637236,5.78246886967326,5.75270095821062,6.76149603128086,5.89749784762989,6.8668566064904,7.18230235115922,6.4706381421996,6.34501769867781,6.51630710740728,6.48446270853913,7.45989597831698,7.40284160647861,6.97872191749551,7.61156522767184,6.49730101761249,6.89192217743042,6.33249071505886,6.49382234915773,6.62661548779436,8.02432212586604,7.28449497657878,6.4352371808989,8.16653915445942,6.74290211459538,6.01667119997661,6.06461722338273,6.261406048706,6.57993129216083,7.31699697619526,7.29611106652094
Acadl,10.6653053506671,10.6236058541282,10.3776642992481,10.5159904155201,10.8834177022118,10.7129661848619,10.6837625338329,10.6440055360314,10.7799269509627,10.9291696604353,11.1010803311093,10.7551799985465,10.9716638562927,10.9137176009486,11.0965980162507,11.2859217722191,10.6011087705548,10.6411305491848,10.5609317727851,10.8751103426354,10.4521168332821,10.6013234546247,10.7130714895882,10.8962597746311,10.5773306442857,10.4912447380344,10.7016885073966,10.6978868480063,10.7698995388043,10.2702741522572,10.6775828252496,10.7496882625125,10.4879488084264,10.8067501749053,10.9107955628364,10.9556281302589,11.0518881092193,11.1447918413706,11.0928301220406,10.9658468781073
Acadm,10.7540687926452,10.8705464120206,10.6604991647745,10.4593114872363,10.6937714580761,10.6242074246752,10.498887831792,10.6675408444253,10.7746437596033,10.8043696438197,10.811930251437,11.0115101989949,10.8427301915392,11.2261398883628,11.0964327523425,11.0433948339121,10.4954557560263,10.6037446953126,10.6119219449656,10.745483278227,10.3414759792578,10.4898981678652,10.6639475516495,10.5722299374541,10.4336777431319,10.4375996274529,10.7560596588914,10.6610744580377,10.7957394099174,10.4070289050983,10.7054710557094,10.8588101843162,10.5981481644831,10.9248889776572,10.6260251856696,10.7695162761065,11.0074567227739,10.9839529767441,10.9429861651264,10.63806498202
Acads,7.52818542321756,7.53666466266793,6.57057738689471,7.09679928084814,6.67738706321386,6.59391257212757,7.12284269638467,7.29945936248974,7.76490106639601,7.54554212136496,6.83594285550129,6.28452996928909,6.71214325976968,7.18897287141999,5.68522283188553,6.92839401165508,8.10088247057205,7.40839143036292,8.05502102208906,8.76604776392724,7.29172869368572,6.86234642662161,6.43368686678935,6.87031561084063,7.34494380960497,7.5639578988733,6.38207118361624,7.06962061569036,7.13894191491253,9.46601188242816,8.01860852055805,6.81430233478687,9.57906651768002,7.24533450761544,5.51457582044406,5.22546332716112,5.88293064240032,6.33716817708455,7.19037596703183,7.40168434681953
