"","MM_MEblack","MM_MEblue","MM_MEbrown","MM_MEpink","MM_MEred","MM_MEyellow","MM_MEgreen","MM_MEturquoise","MM_MEgrey"
"ELOVL7",0.577391304347826,0.486086956521739,0.286086956521739,0.421739130434783,0.638260869565217,-0.323478260869565,0.137391304347826,-0.439130434782609,-0.421739130434783
"ELP2",0.646086956521739,0.827826086956522,0.308695652173913,-0.120869565217391,0.232173913043478,-0.72695652173913,0.361739130434783,-0.373913043478261,-0.493043478260869
"ELP5",-0.247826086956522,-0.520869565217391,-0.405217391304348,-0.329565217391304,-0.503478260869565,0.348695652173913,-0.0208695652173913,0.345217391304348,0.428695652173913
"ELP6",0.112173913043478,0.20695652173913,0.54,0.310434782608696,0.194782608695652,-0.1,-0.52,-0.44695652173913,-0.533913043478261
"EMC1",0.837391304347826,0.896521739130435,0.531304347826087,0.0226086956521739,0.40695652173913,-0.727826086956522,0.192173913043478,-0.653043478260869,-0.675652173913043
"EMC10",-0.0539130434782609,0.243478260869565,0.676521739130435,0.399130434782609,0.372173913043478,0.0217391304347826,-0.578260869565217,-0.434782608695652,-0.588695652173913
"EMC2",-0.559130434782609,-0.593043478260869,-0.786086956521739,-0.622608695652174,-0.568695652173913,0.14695652173913,0.354782608695652,0.916521739130435,0.859130434782609
"EMC3",0.528695652173913,0.577391304347826,0.307826086956522,0.118260869565217,0.303478260869565,-0.306086956521739,0.124347826086957,-0.505217391304348,-0.483478260869565
"EMC4",0.108695652173913,0.450434782608696,0.451304347826087,0.0878260869565217,0.289565217391304,-0.466086956521739,0.0234782608695652,-0.23304347826087,-0.429565217391304
"EMC6",-0.00434782608695652,0.205217391304348,0.509565217391304,0.11304347826087,0.0878260869565217,-0.20695652173913,-0.297391304347826,-0.279130434782609,-0.469565217391304
"EMC8",-0.511304347826087,-0.588695652173913,-0.00260869565217391,0.212173913043478,-0.342608695652174,0.711304347826087,-0.559130434782609,0.11304347826087,0.110434782608696
"EMC9",0.0330434782608696,0.205217391304348,0.607826086956522,0.0452173913043478,0.26695652173913,-0.398260869565217,-0.480869565217391,-0.340869565217391,-0.525217391304348
"EMCN",-0.367826086956522,-0.512173913043478,-0.451304347826087,-0.23304347826087,-0.357391304347826,0.280869565217391,0.0147826086956522,0.510434782608696,0.553043478260869
