Gene,GSM5283787,GSM5283788,GSM5283789,GSM5283790,GSM5283791,GSM5283792,GSM5283793,GSM5283794,GSM5283795,GSM5283796,GSM5283797,GSM5283798,GSM5283799,GSM5283800,GSM2114177,GSM2114178,GSM2114179,GSM2114180,GSM2114181,GSM2114182,GSM2114183,GSM2114184,GSM2114185,GSM2114186
Aarsd1,6.51414659669647,6.29224326488634,6.86307209949273,6.80987806360873,6.65343487953807,6.82450675164494,6.53057250981283,6.25005405322978,6.62282299128363,6.2791688595125,6.64295607688109,6.7656869247859,6.76214643488402,6.59000273171617,6.65621077207144,6.27792578634352,6.48923870142208,6.67241093913465,6.63230975694105,6.35868559117428,6.51161505666181,6.81102255507667,6.79038692740029,6.85145524134854
Aasdhppt,4.95098686638818,5.57426911014149,4.60388427906005,4.56460645606223,4.69142971839276,4.53746235764665,4.8768782051446,5.15642515058469,5.14465565837401,5.58597425076074,4.54854484462176,4.27083641621688,4.6186803656845,4.40288393698394,5.19997356435243,5.02851112653818,4.62268787515808,4.77584190972871,4.89837054241778,4.9262866943003,4.16277091758542,4.37620077997885,5.23648538315184,4.98612426428969
Aass,4.28425537454118,3.56633381913135,3.49865392444183,3.07348248015054,3.27047195598554,3.41099860739155,3.49020244710933,2.58788548635523,3.25437889184436,3.46553150781353,2.76790727811118,3.12466626223679,3.24574794446368,3.05152400237264,2.90957009151425,3.58424822458455,2.74300120261179,3.86530775824094,3.53739059675343,3.57071387650863,3.03405088302093,3.20501326678336,3.10749349622038,3.36469801373297
Aatf,3.99304858006432,4.26758054351808,3.91914513234268,3.83000285032797,3.82082451689979,3.73651426219761,4.15253269487241,4.75748489266317,4.70407467775837,4.62098112951551,4.15440986137336,3.92482025236089,3.88072771995046,3.91910291829556,4.07135981777541,4.36590208143744,4.05328026911574,4.17025019233241,3.89927185988224,4.39073317838529,3.71899291068224,4.13359628459912,4.20581560335004,4.16923827307698
Aatk,8.609159579312,8.62111512736153,9.1057049302022,8.99247582714666,8.91786991755306,9.24172163486992,8.91709486288974,8.256158670389,8.46026369673612,8.06503665563828,8.97204575673722,9.09651428683468,8.75988630725356,9.17966843888569,9.03822818729038,8.29689310627727,8.93225999497548,8.44645029792766,8.70601591570454,8.80794255552453,8.92385110068864,9.03061790129251,9.09882424411683,8.77189405982059
Abat,7.22791421585776,7.02387737125877,6.69967389721824,6.57439454930297,7.25248106073683,6.57223142977965,6.73458811253852,6.82884261844732,6.33933268431774,6.38039293542507,6.78804700478151,6.52901148031064,6.80351646627432,6.88732457140574,7.11534325228742,6.76478560414394,6.94017009630397,6.88598959284351,6.25236772601616,6.7769356155618,7.02136451168739,6.72018875328963,6.5653495419039,6.68507542145349
Abca1,5.47369136219362,5.22969607996093,5.63645973203767,5.49959306361702,5.7690251948683,5.61916448438052,5.75206105305044,5.60540360404395,5.42309125546655,5.7813327083286,6.71478196781445,6.24864463364365,6.16471135650415,7.09795199395188,5.50160968272528,5.56414453442233,5.93953665076832,5.64941852655708,5.50688075428312,6.74378712820294,6.60778071679001,5.32956475216021,6.00709526964711,5.6406235746761
Abca17,1.85151316534406,2.06517993598929,2.9250560229578,2.87764026137414,2.60703590063725,2.73369693893452,2.43231591792423,2.37512945991721,1.79050600185154,1.69507488009009,2.76935544545197,2.42751018687834,2.13797165846438,2.47244077222412,2.70878730288784,1.58706380400848,2.32715426480655,2.67516239154201,2.53703252770586,2.15107708435307,1.94672234379293,2.67686102908374,2.80733723121886,2.79013806135043
Abca2,9.69214002611144,9.63049485890963,10.2539885864679,10.2380886727335,10.0904552555819,10.4317857096658,9.87402662429783,9.32870146164064,9.37494081176377,8.97106842472585,10.1924523276939,10.2218360832017,9.9779534567488,10.3021574400906,9.68947798049463,9.75725976887566,10.1445173991008,9.86646391172578,9.61027117126217,10.0894652564215,10.1349406341301,9.87935720454272,10.1165660326132,9.78486067225356
Abca5,3.31677336190056,4.2762319389899,4.43613431256622,4.0326000689542,4.2890305480746,4.18919394309526,3.59416711539782,3.63078083914447,3.26438296628144,3.35178185568237,3.81706118740449,3.79099624367523,3.79664954450147,3.88300783930395,4.39962949413183,3.69740753659123,3.68468611957017,3.47667287810501,4.55291195034345,3.9508769538773,3.68050802072896,3.75154543730686,3.65287865530086,3.19449669637501
