"","MM_MEblack","MM_MEred","MM_MEgreen","MM_MEturquoise","MM_MEyellow","MM_MEblue","MM_MEbrown","MM_MEmagenta","MM_MEpink","MM_MEgrey"
"RBFOX2",-0.272420262664165,0.0384615384615385,0.0855534709193246,-0.250093808630394,0.492682926829268,0.0761726078799249,0.518386491557223,0.292870544090056,-0.437148217636022,-0.587992495309568
"RBL2",0.322701688555347,0.274484052532833,0.408630393996248,0.695121951219512,-0.544277673545966,-0.471482176360225,-0.65422138836773,-0.265103189493433,0.281238273921201,0.327392120075047
"RBM10",-0.34202626641651,-0.124202626641651,-0.223827392120075,-0.502626641651032,0.547842401500938,0.279924953095685,0.55140712945591,0.281050656660413,-0.247279549718574,-0.49249530956848
"RBM24",0.24484052532833,-0.173358348968105,0.0326454033771107,0.458724202626642,-0.560787992495309,-0.0688555347091932,-0.585365853658537,-0.110694183864916,0.623827392120075,0.369418386491557
"RBM25",-0.0135084427767355,0.0598499061913696,0.836960600375234,0.662101313320825,-0.540900562851782,-0.681425891181989,-0.285178236397749,0.0592870544090056,0.0658536585365854,-0.0641651031894934
"RBM39",0.696998123827392,0.65515947467167,0.357223264540338,0.594183864915572,-0.222514071294559,-0.707879924953096,-0.569230769230769,-0.503564727954972,-0.150844277673546,0.363977485928705
"RBMX",0.192307692307692,-0.0270168855534709,0.472607879924953,0.651219512195122,-0.501500938086304,-0.371669793621013,-0.569981238273921,-0.111444652908068,0.420075046904315,0.0966228893058161
"RBPJ",0.365853658536585,0.463977485928705,0.447091932457786,0.323076923076923,-0.247279549718574,-0.587242026266417,-0.396060037523452,-0.435647279549719,-0.282363977485929,0.44296435272045
"RBPMS",0.0878048780487805,-0.0337711069418386,-0.638836772983114,-0.38780487804878,0.60844277673546,0.585365853658537,0.248968105065666,0.182176360225141,0.0322701688555347,-0.398311444652908
"RCHY1",0.578986866791745,0.478424015009381,0.387617260787992,0.577298311444653,-0.365290806754221,-0.579174484052533,-0.653658536585366,-0.497936210131332,0.0277673545966229,0.448405253283302
"RCN1",0.386116322701688,0.167166979362101,-0.0662288930581613,0.0729831144465291,-0.29718574108818,-0.19343339587242,-0.402626641651032,-0.441463414634146,0.049343339587242,0.611632270168855
"RCN2",0.31031894934334,0.0926829268292683,0.591181988742964,0.843714821763602,-0.627204502814259,-0.672983114446529,-0.589868667917448,-0.0266416510318949,0.323264540337711,0.138649155722326
"RDH10",-0.0228893058161351,0.0521575984990619,0.707879924953096,0.582176360225141,-0.535084427767355,-0.609943714821764,-0.2046904315197,0.0666041275797373,0.0690431519699812,0.00600375234521576
"REG3B",0.0273921200750469,-0.235272045028143,0.0954971857410882,0.15703564727955,-0.196810506566604,-0.119699812382739,-0.170731707317073,0.154971857410882,0.250281425891182,0.0075046904315197
"REG3G",-0.0566604127579737,-0.320637898686679,0.226078799249531,0.169981238273921,-0.263602251407129,-0.196810506566604,-0.0879924953095685,0.134709193245779,0.24953095684803,-0.00769230769230769
"RELN",0.177298311444653,0.383489681050657,-0.148780487804878,-0.0416510318949343,0.411444652908068,-0.00450281425891182,0.111819887429644,0.133771106941839,-0.353846153846154,-0.29812382739212
