Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
Eno3,-0.255753868275026,8.94703247628303,-6.89500625767819,2.0151185215725E-08,2.10327995689129E-06,9.05900863065304
Plpp1,0.13105248626819,8.78453799782473,6.85683087907103,2.28605227677067E-08,2.20252344358097E-06,9.0433183607389
Pdhx,-0.103076628671151,8.84117030259535,-6.85742280354237,2.28158403122794E-08,2.20252344358097E-06,9.00043977069667
Pdk4,0.341413760852685,9.2130462749237,6.60504407830427,5.2608753326482E-08,4.70660453867276E-06,8.01969762454755
Cidea,0.109713221537695,9.0548765072087,6.56905918003004,5.92740852964659E-08,5.12005460922921E-06,7.96060272859097
Fkbp4,-0.115180232006305,8.94431638753474,-6.50614490001933,7.30257449535686E-08,5.90095132608675E-06,7.79719186041356
Dbi,0.106317417939381,9.16196800246057,6.51161917608149,7.17117251817507E-08,5.90095132608675E-06,7.70358860835206
Acsl6,-0.272198951783848,8.45400236465406,-6.25379771893866,1.68738615786553E-07,1.32090697670411E-05,7.21514427952347
Ptgfr,0.224442928824644,8.80414775363247,6.20857948056182,1.96073139314786E-07,1.48837337570769E-05,6.93693140901724
Sult1a1,0.231015943147493,8.9310070825737,6.09944128994855,2.81699447340192E-07,1.96015865440884E-05,6.51257230461292
Pex11a,0.395867497520277,8.01070037774415,6.12127546102644,2.62002377921999E-07,1.87518844769888E-05,6.40647390602522
Myh7,0.153266591115569,9.59171658973427,6.12371640277952,2.59887717892811E-07,1.87518844769888E-05,6.18646589240263
Ucp3,0.306315851310871,8.59825122382579,5.93412376604064,4.87590508635126E-07,3.21424795823945E-05,6.17475400699841
Eci1,0.135803821499652,9.11846426792178,5.97718416625999,4.2268089314036E-07,2.86166388463946E-05,5.9815086020709
Fcer2,-0.238284873368273,8.43703278322462,-5.84198588630772,6.61825259504001E-07,4.14468068764381E-05,5.90567143932683
Ckb,-0.270849287608586,8.87591893709609,-5.88632437552647,5.7135222991122E-07,3.6698393228913E-05,5.80199889983911
Pxmp2,-0.154756682527847,8.89477714590695,-5.72972871804412,9.59941557114688E-07,5.86500878188364E-05,5.28780974304683
Mxi1,0.104368570082478,8.86706256395322,5.46465329096112,2.30448855106305E-06,0.0001374462814384,4.47171363061006
Pdp2,-0.195955186050838,8.50888899286416,-5.29415939500887,4.037695573575E-06,0.00021987885677837,4.12772552985194
Rpl15,0.065490657295277,9.20547108781627,5.35152638920695,3.34421507490608E-06,0.00019481997122418,3.87080896009207
Hsd17b4,0.0708796185829652,9.05624573365775,5.31551779467023,3.7642464670322E-06,0.00020954305333145,3.86356347546036
Cptp,-0.130363754505839,8.43168987668234,-5.18365509226457,5.79982238862587E-06,0.00029057110167015,3.82797013561971
Serpine2,-0.116862769281126,8.70451880308587,-5.23278138151088,4.93804666075564E-06,0.00026318738053601,3.80650847333363
Dlst,-0.0489508658428629,9.34203933407369,-5.3407799092201,3.46444940501757E-06,0.00019723740362656,3.7355263227838
Mgst1,0.182563559880401,8.84882436056024,5.22301562965536,5.09859620530388E-06,0.00026608298946429,3.71766519686223
Spink8,-0.0785372560763222,9.23976445380565,-5.18947687505951,5.69038050297589E-06,0.00029057110167015,3.30787016891621
Bex3,0.13151499041883,8.74353366341303,5.03063335319421,9.55675076140976E-06,0.00046037808956406,3.1658047346102
Kcna4,0.257401818674989,8.12587899558809,4.93553551426692,1.30167203657125E-05,0.00057205060554578,3.11197765602614
Nme1,-0.195242289398218,8.39166908995927,-4.93819568535842,1.29049006760222E-05,0.00057205060554578,3.08630032085832
Klf10,0.227682594334471,8.59615508783951,4.96369099074493,1.18801960564518E-05,0.00054794471630756,3.07857262874053
Aifm1,-0.082707544632963,9.07427663428295,-5.04231005900443,9.20025814583684E-06,0.00045189503245728,2.95620148577091
Aldh1a1,-0.0872689888823237,8.99488897621014,-4.97728141899132,1.13672516214389E-05,0.00053726349644725,2.80526759263071
Gsto1,-0.0718804719196226,8.97602975168363,-4.95981271387324,1.20307223141382E-05,0.00054794471630756,2.76454074312121
Plat,0.0959119874205383,9.00572140310745,4.91150070425333,1.4071377354055E-05,0.00060773793572255,2.61042187842208
Slc40a1,0.165750107116294,8.60249875506442,4.81227420556461,1.93934559416143E-05,0.00077436198269656,2.58625295205456
Pcsk6,-0.119624904819558,8.89899075149772,-4.85614269086163,1.68320364145723E-05,0.00070273752030839,2.48530463265071
Ap1b1,-0.112593787258901,8.68598835252767,-4.78976616512045,2.08531342987205E-05,0.00081620470966085,2.42063453002258
Cat,0.113914010115913,9.11335119941437,4.8460197495804,1.7391747176808E-05,0.00071420207668695,2.32965693626947
Dcaf11,-0.0967144557314312,8.98531601243033,-4.81097387815805,1.94749720199135E-05,0.00077436198269656,2.28540850555687
Fabp4,0.0832319414034233,9.31943467961122,4.8796689011863,1.55989570405449E-05,0.0006622947014672,2.28387245324737
Fbxo21,0.477067408608617,7.72505401315755,4.77414669226938,2.19291831236912E-05,0.00084511698038225,2.24112574224579
