"","GSM2114177","GSM2114178","GSM2114179","GSM2114180","GSM2114181","GSM2114182","GSM2114183","GSM2114184","GSM2114185","GSM2114186"
"FKBP1A",9.95731865110393,9.88575991857314,9.65467703887417,9.9847512054493,9.80721233488757,9.63376077247841,9.67845540306168,9.65118267873557,9.77467624857739,9.82718909820628
"FKBP1B",4.32913249300425,3.66909728369142,4.21029585025822,4.00293271543728,3.98292725798878,4.35705953898377,4.13309036369813,4.03510862391347,4.00446016868568,4.3606797572528
"FKBP2",6.68003524500715,6.55987289857352,6.51589815773518,6.61975992212946,6.77108318612886,6.59805685449988,6.39573976327348,6.72696604439956,6.72409548236184,6.87243909260989
"FKBP3",6.95602390060308,6.86722025831176,6.63323173804985,6.69823558734084,6.55424503120269,6.76316410161784,6.44804182897698,6.6528386910094,6.72119972811046,6.86094684595851
"FKBP4",8.5438551102096,8.62533030651067,8.48878213768311,8.64256414029813,8.66463188774983,8.38410803253427,8.50076324363887,8.60755295528226,8.55675867853167,8.51600691738074
"FKBP5",7.24491841574833,7.17777822926295,6.7642396509816,6.89432782308418,7.11607038672518,7.02179101960411,6.94456818648964,7.26130461302372,6.77338650726579,6.93200246098168
"FKBP7",2.30651260657223,2.40804779161741,2.2283020221344,2.84304623272739,1.41554719350096,2.16401255513018,2.07573567304939,1.85680046179716,2.01329756904872,2.19105846736603
"FKBP9",6.52315213627963,6.77894002893125,6.69054864604121,6.78270173537046,6.65176472114488,6.97665214730395,6.9410631288073,6.7543575751784,6.67206127722747,6.88950761744487
"FKBPL",4.7389629510612,4.87774517592363,4.75467281677938,4.96120290642209,5.1222114218744,4.56732695378388,4.72211037227846,5.00216978973129,4.92570906300226,5.01001989564831
"FKRP",6.89329414656278,6.79368443036838,6.85089937823573,6.78470135057337,6.72986466219142,6.64232375993437,6.81038799435913,6.97471045213681,6.97484226058156,6.75006510042579
"FKTN",5.21991159293775,5.38295316664623,5.27152000088552,5.16530715374246,5.40053564522272,5.44162246314544,5.22237937199456,5.17690265516437,5.06317237860705,5.04344730368857
"FLAD1",6.12802681648736,6.00470801637623,5.88884747638183,5.74414492250335,5.93680332158993,5.78160622669593,5.96163476912874,6.02368011091704,5.98303027754549,6.01574102475437
"FLCN",7.04148190163937,7.03439112664168,7.09506028640169,7.02863114563043,7.01363139102464,7.02905793773725,7.08838985468228,7.04294090279714,6.97078434504548,7.05687001385374
"FLI1",2.75576965116919,2.09087307664526,3.1584032059615,2.04303664239627,2.59061777153438,3.21286407989956,2.89600892401879,2.24351700778988,2.85136309956849,3.07058597592048
"FLII",7.15278570562063,7.18498623523189,7.20857324504467,7.26039748326969,7.17728445815026,7.22656087674505,7.21742732721071,7.2009293612308,7.20921043638337,7.13170160491614
"FLNB",5.98810769352352,5.98097802997172,6.11122478410086,5.67683232721479,5.94337481829918,6.2102203313486,6.1579907202981,5.86087255722399,5.76040463990367,5.70946605405533
"FLNC",4.87504310490381,5.44297528300948,6.17979130290915,5.21360544977439,5.44752129118077,6.54531055562857,6.37822135828932,5.45194642997623,6.14736941150023,5.89978791216275
"FLOT1",7.73418089054295,7.53070470342452,7.6642263858449,7.79962416987609,7.84832985333151,7.61443218895789,7.66943482911591,7.85316954581422,7.82098950078243,7.89459161595204
"FLOT2",7.75150279933708,7.64546267246011,7.68540064776293,7.78471488965058,7.40859404131698,7.55223946285208,7.56035159586526,7.71967757234614,7.80147266602819,7.7115558334806
"FLRT1",4.52913821068673,4.69684051187595,4.40218577194437,4.46864765679136,4.41042272152026,4.23165281232579,4.84122257494391,4.69439841876721,4.04207625740722,3.86968132744414
"FLRT2",3.86188516845075,3.68725953327991,3.92086448795537,3.91803253199091,3.63874767212456,4.19076541960528,3.87547208879712,3.62448321549819,3.77051626336603,3.82897261090304
"FLRT3",5.58834921914091,5.78408559597385,5.44627588528383,5.42323014676117,5.78775281932453,5.42408975958563,5.35893335140246,5.51529753424557,5.37215532204801,5.19071678737012
"FLT1",5.55033507844127,5.52605052670212,5.02157245152468,5.17753415815939,5.01399342179887,5.48665702337519,5.49136152970554,5.13179817527914,5.19703109541174,5.11533759407319
"FMC1",4.25753708002854,3.96545060048683,4.57595459382382,4.44860801766213,4.41042272152026,4.29571837433462,4.18142314057747,4.4439367138584,4.29669908990683,4.64491512917061
"FMNL1",8.15413562174131,8.12259316298154,8.27069474161495,8.206235372493,8.19179233563823,7.93420444549794,8.22882169159081,8.2581290953851,8.30317553694207,8.06734782308575
"FMO5",1.11532808786068,1.60947417064271,1.31694481146368,1.68025956435985,1.25577013982182,2.03135027697998,1.5945577016621,1.66154393662429,1.46734580684187,1.74254910090537
"FMOD",3.51239439906772,2.29415677496102,2.29433130889321,2.9609153564288,1.92077394876833,3.38585390718643,3.29789446630222,2.83974327416151,2.3294979359686,3.30066533213702
"FN1",6.04084777631905,5.74126422250944,5.60430297684605,5.65075775126971,5.15088536222453,5.73615200166627,5.77264633117331,5.4776216472534,5.53491583794736,5.52152590415164
"FN3K",6.10635710212773,5.98097802997172,5.75846084670462,6.01334103623908,5.82737224500725,5.67446537640541,5.78677481518484,5.68653043020716,5.79936708300036,5.83224529222506
"FN3KRP",6.09906092526872,6.16719715754571,5.94131111788646,6.04705146526659,5.80949817882634,5.81730167546933,6.11259683147407,5.91041613771261,5.78279757034571,6.02220418617273
"FNBP1",6.64739519671948,6.75115124657332,6.83988680166066,6.70458654577784,6.70494296741553,7.14797162137367,6.88816724799989,6.69995355153338,6.87241688987464,6.63501565483179
"FNBP1L",2.44186353276443,2.45120055321829,1.98343724775111,2.33267497054388,2.59061777153438,2.88144905528064,2.58711397202794,2.39492147127147,2.4275023670551,2.11569759879185
"FNBP4",4.6775897024101,4.96965069298892,5.33825421483375,4.67246062265753,5.19009489920344,5.06265047132962,4.84122257494391,4.90459141334837,4.77375511132396,4.91874635055382
"FNDC3A",5.11095974236741,5.28796108648053,5.19867784103765,5.07014424817268,5.16219724610323,5.37017578586021,5.25662107647717,5.01683741528208,5.0354647994765,4.76384367525234
