Gene,GSM5283787,GSM5283788,GSM5283789,GSM5283790,GSM5283791,GSM5283792,GSM5283793,GSM5283794,GSM5283795,GSM5283796,GSM5283797,GSM5283798,GSM5283799,GSM5283800,GSM2114177,GSM2114178,GSM2114179,GSM2114180,GSM2114181,GSM2114182,GSM2114183,GSM2114184,GSM2114185,GSM2114186
Aarsd1,6.46454211708238,6.19078405289346,6.89500510027624,6.82938059535687,6.63637951296042,6.84742773906466,6.48480646435733,6.13873599746977,6.59861418874765,6.17465439915475,6.62345200661343,6.77486279916266,6.77049496180793,6.55812443741281,6.68003524500715,6.45379811613835,6.58017592388633,6.68972391736226,6.66574100324721,6.5020973272153,6.59355832751053,6.77262198416828,6.76028064011803,6.7968031576214
Aasdhppt,5.11290395528095,5.88404395492851,4.68346016516423,4.63486468419833,4.79177351875767,4.60128134334047,5.02121491138791,5.36707721304762,5.35251571011671,5.89852584050037,4.61499286663144,4.2714052231063,4.70176624455076,4.43477763767179,4.8439543372774,4.74964893557786,4.52644363633982,4.61067930297448,4.67807080908357,4.69342486534654,4.27348646399804,4.39087420888416,4.86403606352924,4.72633589907795
Aass,4.6172258529582,3.72985526363226,3.64620107107653,3.12067758979597,3.36416194535753,3.53785671261239,3.63575481498531,2.52046648412292,3.34427047991342,3.60526086230041,2.74297832018389,3.18394213803465,3.33360239395623,3.09353631339935,2.93692314510629,3.31918590532513,2.84254764941817,3.47843012542811,3.29263705888406,3.31151754170155,3.00745214052374,3.10431692612634,3.04906365075833,3.19479196769323
Aatf,4.0803215760377,4.42151568903316,3.98847281287195,3.87768490511882,3.8662778787988,3.76149531647841,4.27853179682308,5.03037914433473,4.96399980303661,4.86072938915949,4.28086477893263,3.99552597169686,3.94072684267656,3.98842034836406,3.92926044314419,4.06604282048515,3.92086448795537,3.97518410910598,3.84934457742182,4.07757412478859,3.765624900152,3.95816241389572,3.99170031771257,3.9747141842819
Aatk,8.55365141570896,8.56847708700394,9.16940053275956,9.02898894677675,8.93647267837014,9.3380702537692,8.93551155926239,8.11590691241692,8.36901066121552,7.87890295775154,9.00365430656042,9.15800352636622,8.74056253969703,9.26112018149694,8.94130916274943,8.56429921363758,8.88741846768409,8.64035732913424,8.77236082236636,8.82419616413808,8.88314207919478,8.93743891080767,8.97212561388688,8.80586350745019
Abat,7.20362426410717,6.9514810064177,6.55083905246332,6.39602219589679,7.23398331181316,6.39334907083228,6.59398510291235,6.71046229220855,6.10553905050006,6.15628020705979,6.66004816749811,6.3399390169878,6.679164912923,6.78273272044399,7.1647166036502,6.96443934377759,7.06463834300064,7.03368445330789,6.67168963746064,6.97138077268972,7.11102556380745,6.93896069530038,6.85049943039459,6.91890008066999
Abca1,5.65635648359051,5.35516760621553,5.85727849379041,5.68832966070455,6.02091789928748,5.83592916204057,5.99997728607973,5.81894266925949,5.5938954835223,6.03611034943843,7.18836432737773,6.61296229871238,6.50935468267684,7.66135113663091,5.25709876055514,5.29389970566566,5.5148130730707,5.34408233852946,5.26020071746092,5.98810399600378,5.90806599566865,5.15585256144459,5.55457043968516,5.33890662398568
Abca17,1.03364316842273,1.29652382652377,2.35445525378798,2.29611821536205,1.96318552666782,2.11902041387467,1.74822227384053,1.67786405356156,0.958584219203052,0.841172438156263,2.16289214756494,1.74230963830911,1.38608167330911,1.79758908961965,3.61417384053379,2.88802293790134,3.36712260611287,3.59240665838141,3.50298789751447,3.25313854172713,3.12084891824753,3.59350627623322,3.67797041739379,3.66683648578145
Abca2,9.59357938470049,9.5168781345936,10.2926526276851,10.2728693532553,10.089178268178,10.5138745374261,9.81988957399585,9.14137536778698,9.19890811722317,8.69639480797948,10.2160868855659,10.2526472662508,9.94919927223291,10.352586138401,9.88534559953867,9.9151940907535,10.0857274486028,9.96328339285573,9.85046596880011,10.061484603491,10.0815102098441,9.96896110285083,10.0734187424301,9.92734846645934
Abca5,3.73628241177016,4.91269178267894,5.10875095104492,4.61397037687161,4.92838438684276,4.8059729347364,4.07639986846714,4.12129261188301,3.67204560798971,3.77920695393357,4.34969428814301,4.31773559311697,4.3246672066617,4.43055266090355,3.44952864519877,2.96447942589089,2.95569229907394,2.81201029184684,3.55540618850351,3.13955960054624,2.95280634035482,3.00187436376644,2.93372177316497,2.61710135289145
Abca7,6.79525023661553,6.66167906303344,7.84422522097758,7.5635364796619,7.13829418070635,7.6989742432075,7.83508650949518,7.03433229074547,6.55276440494968,6.26518965913548,7.0058147691312,7.30728448925736,6.8437865726138,7.08177989924042,6.33224543349492,5.6306448021115,6.06152849331898,5.78067219104254,5.76567467542187,5.76080515614236,5.77264633117331,5.90411821157788,6.16878257256637,5.94810807237884
Abca8a,7.25052639473149,7.79663367961397,7.99247442065739,7.87499308706368,7.70569024895161,8.12714441474286,8.38380186646038,7.20297038025427,7.81947795597713,7.54017699209981,7.83949468161287,7.91298125961474,7.27324854892687,8.04184086108755,5.99755597043186,6.79263624158971,6.67617352592891,6.50800911953387,6.42638558896536,7.2010516974874,6.53431185097435,6.37285819912543,6.79924638736286,6.45467871785716
