"","GSM3574340","GSM3574341","GSM3574342","GSM3574343","GSM3574344","GSM3574345","GSM3574346","GSM3574347","GSM3574348","GSM3574349","GSM3574350","GSM3574351","GSM3574352","GSM3574353","GSM3574354","GSM3574355"
"ABHD14B",3.85688896730465,4.02447943524424,3.71578119690045,3.72796946473612,3.42462411407732,3.93471536090797,3.51125450273991,3.55915868514421,4.03351116860547,3.59713289198044,3.29480235902057,3.24835793862967,3.61403145853487,3.66564295030767,4.13857885634489,4.05061615458052
"ABI2",3.93462103429392,4.03598310944628,4.654062493011,3.79624420175987,4.54714560496667,3.94209110827082,4.05376252705566,4.55384320020901,3.80494560893699,4.20637272234992,5.0269236445584,4.96162091319834,4.93584072192156,4.75673069957404,4.09839133810016,4.39518066480781
"ABRACL",4.55159430422572,4.37857986833632,4.59477064148145,4.7536093426288,4.54941809426756,3.75165781304107,4.41684326489897,4.23964252491681,3.37998141171298,4.55545917920658,4.61725428117311,4.56874127568927,4.56813193783026,4.07623043583303,3.95071491424099,3.49348203388604
"ABTB2",2.55471981308033,2.52451868444566,2.41835913484625,1.94831678696666,2.13709267329612,3.74955758943324,3.1374577937797,1.7780913305556,3.88880340020292,2.20315602770568,1.81324618174258,1.68948309653789,1.48916660057174,2.20564840791415,2.31586880489446,3.56334242467647
"ACAA2",8.61529714633386,7.8711781309684,8.05671646013527,8.15105747938717,8.74769974795769,9.44458625649352,8.803573845288,8.58090858786921,9.90833059317053,8.86333341918869,8.22191461594318,8.29490618740575,8.43472848622633,8.76051684596315,9.47061454605102,8.99037401809876
"ACACA",4.42615823408424,4.27316901537003,4.46833443580038,3.82376475948419,4.18155239141389,4.10701621447154,4.18520690473597,4.01302864960966,4.00016203819073,4.07502618156105,4.03483849565827,4.22571713142138,3.8870141488778,3.92571220595386,4.51273515860446,4.5057715867441
"ACACB",6.24403073000339,6.74295814413133,6.03565777272794,6.23963257999657,6.4075255974528,8.17467401636757,7.23929577495283,6.16556218164511,8.35448184611951,6.55454910231063,5.6363608519449,5.69697996696339,5.94578400928367,6.34850183648968,7.28038870223052,7.25398222947491
"ACADL",10.5782755291714,10.4737175702306,10.7293177254069,10.7247003174739,10.8121652730695,10.2053317862978,10.7000395190904,10.787617122406,10.4697144100429,10.8569232069076,10.9832943386411,11.0377469424168,11.1546620957336,11.2675008289794,11.2043893215007,11.050158398188
"ACADM",9.78739012116298,9.79139655265976,10.1167218799704,10.0196890076886,10.1572570389096,9.76016679295896,10.0650426980836,10.2216874800935,9.95540616203729,10.2891907864734,9.98388415031415,10.1304685921723,10.3735385100607,10.3495280751072,10.3076781093887,9.99618349811844
"ACADS",4.96797941918921,5.27236447305135,3.62978224154159,4.58533615870694,4.68167867013177,7.91583278217776,5.90423639705533,4.23049565988597,8.07295573876682,4.82954274211269,2.42414006698361,2.02233248403708,2.93607837513584,3.56737619219846,4.75316154494125,5.04683722935986
"ACADSB",5.8967363838249,6.07624407494685,6.75220917909715,5.71206410917473,6.04805619712401,5.40969684926414,5.74136976382496,6.52293652290737,4.91331436641661,5.90594411945294,6.5577678478989,6.94397066641617,6.6460564352603,6.52140373916348,6.22216015356959,5.95033213347455
"ACADVL",8.62182000157014,8.61085816142015,8.01774443237442,8.31541571216082,8.50059192183585,8.8657240528984,8.79936525948469,8.10667956126291,9.17108723065526,8.72115271384996,7.61005436202085,7.47445570789902,7.93426781876232,8.38750157922184,8.96366840725435,8.87319909515459
"ACAT1",9.04168693639504,8.99139320002135,8.8965088193798,8.97904584857635,8.83458509274197,8.8765306158317,8.87259127319708,8.88698565158219,8.94973140241628,8.93591508205279,8.65685301098599,8.70792209767507,8.86676678946108,9.02168748669643,9.30023037864378,9.03485674946969
"ACE",3.64400714872946,3.45910697536655,2.75265433020595,2.92186859722959,3.20582087584052,3.88391946888331,3.46025316383573,2.75974044907946,4.17208293502978,3.1245596185005,2.20975977416508,2.09479276418938,2.19932399541098,2.72947960308584,3.39458447040115,3.21830317894103
