"","GSM5283787","GSM5283788","GSM5283789","GSM5283790","GSM5283791","GSM5283792","GSM5283793","GSM5283794","GSM5283795","GSM5283796","GSM5283797","GSM5283798","GSM5283799","GSM5283800"
"AARSD1",6.46454211708238,6.19078405289346,6.89500510027624,6.82938059535687,6.63637951296042,6.84742773906466,6.48480646435733,6.13873599746977,6.59861418874765,6.17465439915475,6.62345200661343,6.77486279916266,6.77049496180793,6.55812443741281
"AASDHPPT",5.11290395528095,5.88404395492851,4.68346016516423,4.63486468419833,4.79177351875767,4.60128134334047,5.02121491138791,5.36707721304762,5.35251571011671,5.89852584050037,4.61499286663144,4.2714052231063,4.70176624455076,4.43477763767179
"AASS",4.6172258529582,3.72985526363226,3.64620107107653,3.12067758979597,3.36416194535753,3.53785671261239,3.63575481498531,2.52046648412292,3.34427047991342,3.60526086230041,2.74297832018389,3.18394213803465,3.33360239395623,3.09353631339935
"AATF",4.0803215760377,4.42151568903316,3.98847281287195,3.87768490511882,3.8662778787988,3.76149531647841,4.27853179682308,5.03037914433473,4.96399980303661,4.86072938915949,4.28086477893263,3.99552597169686,3.94072684267656,3.98842034836406
"AATK",8.55365141570896,8.56847708700394,9.16940053275956,9.02898894677675,8.93647267837014,9.3380702537692,8.93551155926239,8.11590691241692,8.36901066121552,7.87890295775154,9.00365430656042,9.15800352636622,8.74056253969703,9.26112018149694
"ABAT",7.20362426410717,6.9514810064177,6.55083905246332,6.39602219589679,7.23398331181316,6.39334907083228,6.59398510291235,6.71046229220855,6.10553905050006,6.15628020705979,6.66004816749811,6.3399390169878,6.679164912923,6.78273272044399
"ABCA1",5.65635648359051,5.35516760621553,5.85727849379041,5.68832966070455,6.02091789928748,5.83592916204057,5.99997728607973,5.81894266925949,5.5938954835223,6.03611034943843,7.18836432737773,6.61296229871238,6.50935468267684,7.66135113663091
"ABCA17",1.03364316842273,1.29652382652377,2.35445525378798,2.29611821536205,1.96318552666782,2.11902041387467,1.74822227384053,1.67786405356156,0.958584219203052,0.841172438156263,2.16289214756494,1.74230963830911,1.38608167330911,1.79758908961965
"ABCA2",9.59357938470049,9.5168781345936,10.2926526276851,10.2728693532553,10.089178268178,10.5138745374261,9.81988957399585,9.14137536778698,9.19890811722317,8.69639480797948,10.2160868855659,10.2526472662508,9.94919927223291,10.352586138401
"ABCA5",3.73628241177016,4.91269178267894,5.10875095104492,4.61397037687161,4.92838438684276,4.8059729347364,4.07639986846714,4.12129261188301,3.67204560798971,3.77920695393357,4.34969428814301,4.31773559311697,4.3246672066617,4.43055266090355
"ABCA7",6.79525023661553,6.66167906303344,7.84422522097758,7.5635364796619,7.13829418070635,7.6989742432075,7.83508650949518,7.03433229074547,6.55276440494968,6.26518965913548,7.0058147691312,7.30728448925736,6.8437865726138,7.08177989924042
"ABCA8A",7.25052639473149,7.79663367961397,7.99247442065739,7.87499308706368,7.70569024895161,8.12714441474286,8.38380186646038,7.20297038025427,7.81947795597713,7.54017699209981,7.83949468161287,7.91298125961474,7.27324854892687,8.04184086108755
"ABCB10",5.32382166765364,5.25260657833147,5.44714564396739,5.07789993919926,5.39116371873219,5.35143181075753,4.94007205113266,5.44350281434827,5.01407593169456,5.52507025277955,4.99396397668023,5.0150978491771,4.96529313370212,5.38985471993457
"ABCB1A",6.69707819136739,6.31889889011144,6.67050003932793,6.65522829962672,6.06294332647906,6.65081742946238,7.24046619318441,6.11962118411857,6.24312041287931,6.40082917601009,5.99114322190859,6.45725916244429,5.61702095048024,6.24583911899217
"ABCB6",6.94233794127953,6.8451050082772,7.84715892348523,8.19219402984979,7.15328541505764,8.29547117442797,8.01070153602682,6.79849655297524,7.32064847168909,6.86143345696054,7.93264856291024,8.41457174370684,7.41926413765473,7.73086092517174
"ABCB7",3.53562896930205,4.00689316063625,3.55344903879219,3.78351975125261,4.20338434826758,3.78885647689502,3.44727130233318,3.47337283624159,3.30458084853673,3.61795429960265,3.46573128862819,3.44738829003332,3.65874900850802,3.78503362406235
"ABCB8",5.94454839755542,5.70801292297684,6.52908212171128,6.51124119585977,6.3544703424111,6.63111096527654,6.15441446847336,5.83753355163116,6.00759111527536,5.81555217616538,6.23047302348318,6.44687402076096,6.28212052452235,6.2814639552527
"ABCB9",5.98889964171799,5.76957502386035,6.74474369274293,6.73383660839081,6.41521526607932,6.83681614450723,5.97836806147067,5.44026280556422,5.73644044250316,5.3497259161502,6.44095927701481,6.73747980734741,6.54458707066073,6.65908158266884
"ABCC1",4.82068865501192,4.6579336240966,6.18710202995669,6.07064536828929,5.56305566025018,5.67843537607791,6.14021285345967,5.78230645555106,4.24603137246621,5.07151178018263,5.7662269281802,5.71820542199599,5.55653668680512,5.51684134000182
"ABCC10",4.6726580696651,4.53139714528665,5.44456524030882,5.3034529476433,4.84733831994358,5.42521242121469,5.57391755123493,4.96424454788041,4.65239047335227,4.26008187332921,5.11423737301371,5.24293498845974,4.9179965870112,4.93880536194708
"ABCC3",1.46057324958868,1.79215108107314,2.39778476834857,2.37771449296107,1.76017492074605,2.87383226198629,3.7215005752437,3.26208606796259,3.80314987364767,3.92933564085668,3.89216442516772,4.04532672712218,3.43985074938365,4.0667349395244
"ABCC4",4.90025006405845,4.5013293985135,5.16939115337322,5.21464242505576,4.65191741898314,5.1043288899318,5.32957422339139,4.77145459363336,4.35884386936507,4.62641255384879,5.03981552108626,5.07026544315138,4.66516458693766,5.11763772123305
"ABCC5",7.740120911733,8.02072735243575,8.94611568317627,8.71477200026554,8.31680360688756,8.81291045026772,8.26715896854663,7.74121431798663,7.73017148754495,7.65471400688917,8.63679176036614,8.78398276422674,8.34728906111975,8.57547157193706
"ABCC6",3.10171118762362,2.45343872177273,4.49181323192632,4.28966463674709,3.69155518236097,4.52604510347323,3.6060017348532,2.67179384759388,2.33057061226744,2.40241210213532,3.70343957179378,4.2714052231063,3.41601720372561,3.73108685001139
"ABCC8",6.04459019169752,6.20328989449915,7.5066229807548,7.20123763392279,6.71843204921248,7.32845201992587,6.72950978322178,5.99708401663516,5.7586416865984,5.63531325124889,6.71760544338878,7.08050306728918,6.44799904599545,6.74580240345518
"ABCC9",4.40667858797283,4.10790273551617,5.37580169164878,5.27178714892832,4.57655306434724,4.95230090182999,5.25004906045827,4.95746123933934,4.68057154130642,4.46014019241611,4.87057281977196,5.06423885908422,4.19995090494144,4.88732573014289
"ABCD2",5.84672134491305,5.98768654707668,5.60105609334288,5.54997483637064,5.71838452958272,5.70381268739989,5.48067527517596,5.11815242805581,5.0790343156623,5.23493264417198,5.29962198113617,5.55588321436182,5.54742413661916,5.6929597213355
"ABCD3",7.12366690067706,7.34812379472669,7.51709923422618,7.30526106765091,7.3173667407823,7.3978443879992,6.89242668159228,6.64653215033594,6.73326105873403,6.93555696464993,7.17182735922257,7.27633770837977,7.12002280813196,7.2319654263976
"ABCD4",3.75694756396927,3.59082320949081,5.01098295395386,4.77321942163711,4.32349988893001,5.09613821669107,4.95784811814069,4.20767196926639,3.95955617685158,3.60526086230041,5.0117720568984,5.14068659680452,4.35004504609192,4.7785046119063
"ABCE1",6.97944744060025,7.38792673136803,7.26624412247416,7.16650198220326,7.24680222027187,7.16839296047787,7.14800064736719,7.58677922192644,7.51706549225235,7.39884691712246,7.10205458177968,6.9419375516845,7.26159415790081,7.08110620493574
"ABCF1",7.62820509670532,7.70726424880882,7.43107849175388,7.34827722281927,7.26551960396283,7.45607335903969,7.72217725320365,7.74088516479476,7.82299393171854,7.9236833882725,7.42803801417268,7.48809852046342,7.32055247196045,7.40398163926642
"ABCF2",6.238295529776,6.1844902436947,6.71078629249369,6.66135118530709,6.40653702126278,6.70028869117777,6.35778513363737,6.21370815270926,6.30879000395833,6.20336432026139,6.44095927701481,6.57955004753683,6.39919414840205,6.42641583377232
"ABCF3",6.61267217545823,6.27019895291842,6.90817536175234,6.8589847186003,6.6289378692762,6.75333760121194,6.6963622239193,6.69287277368805,6.66359125356228,6.4344067470492,6.70780650520792,6.85472005151306,6.71866846051534,6.67969867001112
"ABCG1",6.92646274299054,7.15617232766056,7.17189683506964,7.19069281635593,7.2810329511621,7.31557552447662,6.51012710241623,6.79976121502167,6.67919436214331,6.84802737632326,7.56037355557455,7.56853415355157,7.33227266682777,7.91034796334466
"ABCG2",4.14968439783036,3.00379358579416,3.22093670985241,3.28830649934981,3.36416194535753,3.3018505693863,4.0434805639382,3.38176333673607,2.87676703851653,2.98583298923604,2.39771687511151,2.90251010072531,2.31740120314549,2.78482447730142
"ABCG4",6.75985405089753,6.56243189904269,7.28150628924839,7.39740308981039,7.29285380453859,7.52175846780432,6.83747406024044,6.62885228005358,6.65572595775547,6.36739143385765,7.1177625100909,7.20691834580573,7.12309289513576,7.04770376209941
"ABHD1",5.41982213969604,4.66999764889966,5.68215343392266,5.65803011485376,5.21101539484784,5.85870258270886,4.79268629154122,4.19234644153229,4.63968665665067,3.94453190911849,5.25844744712979,5.57720071954204,5.2409987426409,5.30930734481686
"ABHD11",4.49953120289291,4.02109074873646,4.95768805828944,4.67172839215429,4.39104447613592,4.62424750532056,5.39192620015821,4.94150837473157,4.71730992142779,4.38043603011442,4.38291554798989,4.68280529997065,4.61021127905543,4.31612171549055
